idPatients,Name,Surname,Otchestvo,DateBirth,Adress,Discount,HomeTelephone,MobileTelephone
1,Петя,Васильев,Вовович,1996.12.21,"Ул.Ленина 3-4",3%,+375-17-232-43-12,+375-29-433-44-43
2,Марина,Пестик,Антоновна,1986.04.12,"Ул.Пети 4-3",0%,+375-17-867-43-12,+375-29-633-53-85
3,Игорь,Велвет,Персонович,1946.03.11,"Ул.Мары 6-23",20%,+375-17-978-83-53,+375-29-524-65-75
4,Вива,Полоцкий,Андреевич,1992.11.21,"Ул.Лоры 2-53",0%,+375-17-043-41-67,+375-29-631-05-53
5,Вова,Маршел,Маршелович,1972.10.11,"Ул.Килай 6-5",20%,+375-17-032-53-64,+375-29-631-63-73
6,Петя,Сивка,Бурович,1990.09.10,"Ул.Хоровка 4-23",10%,+375-17-010-43-72,+375-29-063-52-09
7,Гаст,Дрэйк,Натович,1972.04.04,"Ул.Вилы 2-32",30%,+375-17-120-43-63,+375-29-524-93-75
8,Комаэда,Нагито,Надеждович,1984.02.07,"Ул.Осколки 4-2",20%,+375-17-368-75-09,+375-29-541-43-60
9,Нанами,Чияки,Кроликовна,1981.04.26,"Ул.Гейм 3-23",10%,+375-17-696-03-54,+375-29-201-64-43
10,Тогами,Бьякуя,Алексеевич,1992.07.05,"Ул.Виват 3-12",0%,+375-17-573-43-94,+375-29-414-02-32
